#chunkId,viewpointId,tileId,qualityId,distortion,bitrate
8,1,0,0,1.535,4.990264
8,1,0,1,1.253,7.752472
8,1,0,2,0.926,17.569896
8,2,0,0,1.535,5.003216
8,2,0,1,1.253,7.713512
8,2,0,2,0.926,18.070992
9,0,0,0,1.5,4.811968
9,0,0,1,1.251,7.838216
9,0,0,2,0.934,15.664336
9,1,0,0,1.5,4.932592
9,1,0,1,1.251,7.864296
9,1,0,2,0.934,17.468176
9,2,0,0,1.5,4.990648
9,2,0,1,1.251,7.5802
9,2,0,2,0.934,18.268008
10,0,0,0,1.501,4.807216
10,0,0,1,1.247,8.349336
10,0,0,2,0.931,16.017048
10,1,0,0,1.501,5.039696
10,1,0,1,1.247,7.99324
10,1,0,2,0.931,17.029568
10,2,0,0,1.501,5.087792
10,2,0,1,1.247,7.786232
10,2,0,2,0.931,17.873552
11,0,0,0,1.488,4.834336
11,0,0,1,1.252,7.958032
11,0,0,2,0.941,15.510744
11,1,0,0,1.488,5.073616
11,1,0,1,1.252,8.02796
11,1,0,2,0.941,16.818632
11,2,0,0,1.488,5.103808
11,2,0,1,1.252,7.854096
11,2,0,2,0.941,17.859968
12,0,0,0,1.501,5.078256
12,0,0,1,1.248,8.022984
12,0,0,2,0.942,15.9326
12,1,0,0,1.501,5.084688
12,1,0,1,1.248,7.944704
12,1,0,2,0.942,16.822584
12,2,0,0,1.501,4.924248
12,2,0,1,1.248,8.06732
12,2,0,2,0.942,17.185528
13,0,0,0,1.547,5.143416
13,0,0,1,1.254,7.752912
13,0,0,2,0.943,15.535136
13,1,0,0,1.547,4.947344
13,1,0,1,1.254,7.9554
13,1,0,2,0.943,16.594496
13,2,0,0,1.547,5.050376
13,2,0,1,1.254,8.247096
13,2,0,2,0.943,17.27224
14,0,0,0,1.575,5.047024
14,0,0,1,1.269,8.041672
14,0,0,2,0.94,16.048416
14,1,0,0,1.575,4.965368
14,1,0,1,1.269,7.872864
14,1,0,2,0.94,16.042328
14,2,0,0,1.575,5.026856
14,2,0,1,1.269,8.170864
14,2,0,2,0.94,16.557048
15,0,0,0,1.508,4.906992
15,0,0,1,1.277,7.79436
15,0,0,2,0.943,15.496544
15,1,0,0,1.508,5.0766
15,1,0,1,1.277,7.925632
15,1,0,2,0.943,16.040104
15,2,0,0,1.508,5.037392
15,2,0,1,1.277,7.960808
15,2,0,2,0.943,16.013488
16,0,0,0,1.504,5.308224
16,0,0,1,1.26,8.140432
16,0,0,2,0.933,16.329792
16,1,0,0,1.504,4.98108
16,1,0,1,1.26,8.153776
16,1,0,2,0.933,15.769552
16,2,0,0,1.504,5.19868
16,2,0,1,1.26,8.197632
16,2,0,2,0.933,15.866648
17,0,0,0,1.558,4.879776
17,0,0,1,1.275,7.992624
17,0,0,2,0.931,16.213664
17,1,0,0,1.558,4.919208
17,1,0,1,1.275,8.323576
17,1,0,2,0.931,15.866512
17,2,0,0,1.558,4.927096
17,2,0,1,1.275,7.998744
17,2,0,2,0.931,15.848168
18,0,0,0,1.623,4.779432
18,0,0,1,1.297,8.233
18,0,0,2,0.933,16.782664
18,1,0,0,1.623,5.00108
18,1,0,1,1.297,8.05396
18,1,0,2,0.933,15.663328
18,2,0,0,1.623,4.539984
18,2,0,1,1.297,7.51316
