#chunkId,viewpointId,tileId,visibilityRatio,switchingDecisionTime
6,1,17,0.0,-1
6,1,18,0.0,-1
6,1,19,0.0,-1
6,1,20,0.0,-1
6,1,21,0.0,-1
6,1,22,0.0,-1
6,1,23,0.0,-1
6,2,0,0.0,-1
6,2,1,0.0,-1
6,2,2,0.0,-1
6,2,3,0.0,-1
6,2,4,0.0,-1
6,2,5,0.0,-1
6,2,6,0.0,-1
6,2,7,0.0,-1
6,2,8,0.0,-1
6,2,9,0.0,-1
6,2,10,0.0,-1
6,2,11,0.0,-1
6,2,12,0.0,-1
6,2,13,0.0,-1
6,2,14,0.0,-1
6,2,15,0.0,-1
6,2,16,0.0,-1
6,2,17,0.0,-1
6,2,18,0.0,-1
6,2,19,0.0,-1
6,2,20,0.0,-1
6,2,21,0.0,-1
6,2,22,0.0,-1
6,2,23,0.0,-1
7,0,0,0.151,-1
7,0,1,0.153,-1
7,0,2,0.068,-1
7,0,3,0.0,-1
7,0,4,0.0,-1
7,0,5,0.0,-1
7,0,6,0.169,-1
7,0,7,0.179,-1
7,0,8,0.125,-1
7,0,9,0.001,-1
7,0,10,0.0,-1
7,0,11,0.0,-1
7,0,12,0.0,-1
7,0,13,0.004,-1
7,0,14,0.045,-1
7,0,15,0.051,-1
7,0,16,0.012,-1
7,0,17,0.037,-1
7,0,18,0.0,-1
7,0,19,0.0,-1
7,0,20,0.0,-1
7,0,21,0.005,-1
7,0,22,0.0,-1
7,0,23,0.0,-1
7,1,0,0.0,-1
7,1,1,0.0,-1
7,1,2,0.0,-1
7,1,3,0.0,-1
7,1,4,0.0,-1
7,1,5,0.0,-1
7,1,6,0.0,-1
7,1,7,0.0,-1
7,1,8,0.0,-1
7,1,9,0.0,-1
7,1,10,0.0,-1
7,1,11,0.0,-1
7,1,12,0.0,-1
7,1,13,0.0,-1
7,1,14,0.0,-1
7,1,15,0.0,-1
7,1,16,0.0,-1
7,1,17,0.0,-1
7,1,18,0.0,-1
7,1,19,0.0,-1
7,1,20,0.0,-1
7,1,21,0.0,-1
7,1,22,0.0,-1
7,1,23,0.0,-1
7,2,0,0.0,-1
7,2,1,0.0,-1
7,2,2,0.0,-1
7,2,3,0.0,-1
